year,quarter,tickersymbol,value,code
2018,1,AMD,393350314289.0000,3100
2018,1,AMD,1788785039652.0000,4100
2018,1,AMD,1635048740000.0000,4110
2018,1,AME,79197011059.0000,10
2018,1,AME,71321903131.0000,21
2018,1,AME,7875107928.0000,30
2018,1,AME,98053333.0000,70
2018,1,AME,98053333.0000,72
2018,1,AME,8498158684.0000,1100
2018,1,AME,289322254405.0000,1300
2018,1,AME,115806709825.0000,1400
2018,1,AME,345509265076.0000,3100
2018,1,AME,148463911440.0000,4100
2018,1,AME,120000000000.0000,4110
2018,1,AMP,165650533929.0000,10
2018,1,AMP,141551076334.0000,21
2018,1,AMP,23724552054.0000,30
2018,1,AMP,2482472449.0000,70
2018,1,AMP,2482472449.0000,72
2018,1,AMP,38189632279.0000,1100
2018,1,AMP,2850000000.0000,1200
2018,1,AMP,621788197748.0000,1300
2018,1,AMP,289782306658.0000,1400
2018,1,AMP,886794719485.0000,3100
2018,1,AMP,174472056178.0000,4100
2018,1,AMP,130000000000.0000,4110
2018,1,AMS,300814456895.0000,10
2018,1,AMS,278261410866.0000,21
2018,1,AMS,22553046029.0000,30
2018,1,AMS,1113311282.0000,70
2018,1,AMS,1035214548.0000,72
2018,1,AMS,15582672000.0000,1100
2018,1,AMS,9140363000.0000,1200
2018,1,AMS,380235895000.0000,1300
2018,1,AMS,370105470000.0000,1400
2018,1,AMS,719936734000.0000,3100
2018,1,AMS,182959877000.0000,4100
2018,1,AMS,150000000000.0000,4110
2018,1,AMV,8065678071.0000,10
2018,1,AMV,6821081270.0000,21
2018,1,AMV,1244596801.0000,30
2018,1,AMV,415078456.0000,70
2018,1,AMV,410145243.0000,72
2018,1,AMV,741058637.0000,1100
2018,1,AMV,361250008543.0000,1300
2018,1,AMV,12088374171.0000,1400
2018,1,AMV,18806029975.0000,3100
2018,1,AMV,351843649005.0000,4100
2018,1,AMV,271157500000.0000,4110
2018,1,ANV,817634535287.0000,10
2018,1,ANV,676345003175.0000,21
2018,1,ANV,138385864366.0000,30
2018,1,ANV,75918679910.0000,70
2018,1,ANV,75891040665.0000,72
2018,1,ANV,6242775876.0000,1100
2018,1,ANV,62000000000.0000,1200
2018,1,ANV,379082498602.0000,1300
2018,1,ANV,871538323386.0000,1400
2018,1,ANV,1495059224354.0000,3100
